"X_uuid","region","district","settlement","X_observation_gps_longitude","X_observation_gps_latitude"
"1035a6b2-ff50-4d37-afaa-86ad25323af7","Gedo","Doolow","NB-3813-W02-001","42.06275327","4.14457021"
"e5dc795a-ceb5-4927-a765-3ee5fb184d33","Gedo","Doolow","NB-3813-W02-001","42.0623305","4.14505049"
"6738573c-9208-4de9-9647-feabbb010311","Gedo","Doolow","NB-3813-W02-001","42.06246639","4.14541025"
"c96e02ef-50bf-40ef-b861-029064575d1f","Gedo","Luuq","other","42.51288486","3.89726709"
"689cf1fd-ffab-44c2-adc1-bbf7a447e2bb","Gedo","Luuq","other","42.51252383","3.89780849"
"ebf1ee8b-3660-4e5d-9136-e5615e0fc9c9","Gedo","Luuq","other","42.5124065","3.8947479"
"af70ff86-b196-474b-9ffa-873e7b5d4c65","Gedo","Luuq","other","42.5122387","3.8946892"
"f119a193-6864-45a4-94b2-fe1ffb4c5568","Gedo","Luuq","other","42.5128357","3.894503"
"2045f391-7db7-4e43-99f6-642024096838","Gedo","Luuq","other","42.514465637505054","3.89244154561311"
"a1380b66-62ec-4ec2-9a05-091ab2d13607","Gedo","Luuq","other","42.514433870092034","3.891825433820486"
"b3b1b782-7db1-4383-85ce-cc91dacf0846","Gedo","Luuq","other","42.51297806","3.89348542"
"f238d453-e0fc-4d52-92b5-ff874f3e0528","Gedo","Luuq","other","42.512622236278226","3.893870415577854"
"059b5f22-66d4-4b5a-9efc-839cb90bef31","Gedo","Luuq","other","42.51278833333334","3.896843333333334"
"50b6f66f-a62f-473f-b6b0-8d9ad537249b","Gedo","Luuq","other","42.512510000000006","3.89703"
"f85460f6-85fb-4bba-9ff4-0c0d959f388d","Gedo","Luuq","other","42.51350174","3.89361156"
"8b6affab-1a61-4db2-bc39-943036f1fbd8","Gedo","Luuq","other","42.512865","3.897338333333334"
"eb701d53-4e09-4ad9-9e04-c3c5d6fcf2ee","Gedo","Luuq","other","42.51209333333333","3.896998333333334"
"9b1e3874-1868-41fb-ad10-e1661a4a6967","Gedo","Luuq","other","42.51435759477317","3.8922997657209635"
"c502a2c4-8646-44a5-a0f1-1dd50a5422cb","Gedo","Luuq","other","42.51426128670573","3.892667437903583"
"7bbeed6b-8539-407a-88ff-182163de4e85","Gedo","Luuq","other","42.512615767266404","3.8946392779421815"
"711d328e-6bc2-4fe7-a2b2-34d1316e1b29","Gedo","Luuq","other","42.51289666666666","3.8948033333333334"
"63f84a29-983d-4e6b-8a4d-bdfc3930ff7f","Gedo","Luuq","other","42.51325833333333","3.8941133333333333"
"25579895-4474-4a93-bb76-1f1e6124d6cb","Bari","Bossaso","other","49.19570556693308","11.269653066262391"
"f61a5bc8-85ab-4f11-8b9c-38f6b5c524b7","Gedo","Belet Xaawo","NA-3704-F31-001","41.887339999999995","3.9155633333333335"
"9e98a0d6-9396-4e54-b682-c6cbd89b62cf","Gedo","Belet Xaawo","NA-3704-F31-001","41.88698333333333","3.9148149999999995"
"0101aba6-ab76-45c2-9409-5a4d53cd1d1c","Gedo","Belet Xaawo","NA-3704-F31-001","41.886923333333336","3.9148733333333334"
"53d621af-fa17-4090-9316-7397da4d2f4e","Gedo","Belet Xaawo","NA-3704-F31-001","41.88699166666667","3.9148449999999997"
"ecf19bea-6993-46f7-b82a-407e628c2c26","Gedo","Belet Xaawo","NA-3704-F31-001","41.87712666666666","3.9241666666666664"
"d3abb436-f7b5-4eff-8067-527ceb26d7dc","Gedo","Doolow","NB-3813-W02-001","42.06301507540047","4.146202490665019"
"f81a2a81-2a63-4995-b747-cb6b71a90780","Gedo","Doolow","NB-3813-W02-001","42.096047066152096","4.1597895976156"
"8b038e63-faa1-4774-8930-0adf891c9389","Gedo","Doolow","NB-3813-W02-001","42.0651582442224","4.149096133187413"
"f7e48c7c-8888-42ad-b32b-62bfcb6b47cd","Gedo","Doolow","NB-3813-W02-001","42.06559603102505","4.149479018524289"
"60c26b1a-56b1-49ab-a7af-efb24121ceec","Gedo","Doolow","NB-3813-W02-001","42.06553392112255","4.1495713870972395"
"8230054c-ff57-46f2-82da-8d90c818b3ff","Gedo","Doolow","NB-3813-W02-001","42.06569476984441","4.149724608287215"
"cede01ca-e345-4871-9516-066278cb3ed8","Gedo","Doolow","NB-3813-W02-001","42.06572243012488","4.149956200271845"
"8c249bc9-6989-4c2d-b084-3c7177f32161","Gedo","Doolow","NB-3813-W02-001","42.06601655110717","4.150047185830772"
"4d185331-4aa0-4411-b393-316872228aa4","Gedo","Doolow","NB-3813-W02-001","42.06606013700366","4.150123209692538"
"574eb84f-a02e-418f-b993-579a139ef2d7","Gedo","Doolow","NB-3813-W02-001","42.06622869707644","4.150189175270498"
"a9951768-26cc-4102-95d6-95eb761d8af5","Gedo","Doolow","NB-3813-W02-001","42.066967226564884","4.151616403833032"
"633cc4bd-b1b6-4e13-ad0b-9f7a58d754bf","Gedo","Doolow","NB-3813-W02-001","42.0646709","4.1421237"
"268e1ed8-e782-4d7e-b32e-a33cbfd9196a","Gedo","Doolow","NB-3813-W02-001","42.0919121","4.1614034"
"32e9c315-a589-4763-a887-362267b0c7c0","Gedo","Doolow","NB-3813-W02-001","42.0916962","4.1613425"
"55f67bfb-295c-41cc-82d0-1fbbcf108646","Gedo","Doolow","NB-3813-W02-001","42.0919602","4.1614117"
"682c5ddd-fb60-40c7-9572-133e7fd64087","Gedo","Doolow","NB-3813-W02-001","42.0916628","4.1612647"
"e1c5599d-d080-43f7-abc6-ec81219be5c7","Gedo","Doolow","NB-3813-W02-001","42.0914865","4.1611519"
"7c878109-f782-4bd6-b302-d8e02cc0d26b","Gedo","Doolow","NB-3813-W02-001","42.0912632","4.1611565"
"92ed48f4-721c-40c5-af1a-dcc2fea8d639","Gedo","Doolow","NB-3813-W02-001","42.0916246","4.1612448"
"42c65bcd-8104-4c73-8bdc-b9dfd9120cee","Gedo","Doolow","NB-3813-W02-001","42.0913991","4.1609815"
"4290d29f-2bb1-4bd0-8bf3-5b9ee49c3f35","Gedo","Doolow","NB-3813-W02-001","42.0917479","4.160872"
"5fdbb73d-40b7-44dd-af30-7b9e288bcb01","Gedo","Doolow","NB-3813-W02-001","42.0920131","4.1607221"
"2c5eed2d-4d83-4128-b06a-9e97791dcf0a","Gedo","Doolow","NB-3813-W02-001","42.0913194","4.160892"
"148cbecc-d878-4acc-966c-85a237be6f4d","Gedo","Doolow","NB-3813-W02-001","42.0903824","4.1611965"
"41a4a678-a560-47b7-b6f1-64d7f9fb454a","Gedo","Doolow","NB-3813-W02-001","42.0902136","4.1611658"
"b2d525d3-7846-4ca6-a209-4dbdaa8f9da1","Gedo","Doolow","NB-3813-W02-001","42.0901252","4.1611639"
"2d2ae182-1c5e-43c8-b516-c33c7bbdda4c","Gedo","Doolow","NB-3813-W02-001","42.0671928","4.1526935"
